evaluation_id,axis,purpose,LOCAL_TYPE_1,LOCAL_TYPE_2,LOCAL_TYPE_7,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_30,profile_mse_kcal2_mol2,regularization,objective
EVAL_00126,PHI,optimization,0.20460606294583664,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.001165814936269891,10.589305798268114
EVAL_00127,PHI,optimization,0.20460606272524923,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.0011905438239133185,10.552763177988478
EVAL_00128,PHI,optimization,0.20660606272524923,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.0012026407939493583,10.552740102013544
EVAL_00129,PHI,optimization,0.20460606272524923,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.0011658149349533184,10.589305798266798
EVAL_00130,PHI,optimization,0.204606062697535,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.0011905438237479065,10.552763177988313
EVAL_00131,PHI,optimization,0.206606062697535,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.0012026407937795122,10.552740102013376
EVAL_00132,PHI,optimization,0.204606062697535,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.0011658149347879066,10.589305798266633
EVAL_00133,PHI,optimization,0.2046060626960029,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.0011905438237387622,10.552763177988304
EVAL_00134,PHI,optimization,0.2066060626960029,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.0012026407937701226,10.552740102013365
EVAL_00135,PHI,optimization,0.2046060626960029,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.0011658149347787623,10.589305798266624
EVAL_00136,PHI,optimization,0.2046060626946286,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.0011905438237305597,10.552763177988295
EVAL_00137,PHI,optimization,0.2066060626946286,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.0012026407937617003,10.552740102013358
EVAL_00138,PHI,optimization,0.2046060626946286,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.0011658149347705598,10.589305798266615
EVAL_00139,PHI,optimization,0.21614405016298957,0.0,0.15,0.0,0.25,0.143,10.55243121061989,0.0012647331352381122,10.553695943755129
EVAL_00140,PHI,optimization,0.21814405016298957,0.0,0.15,0.0,0.25,0.143,10.552608474004424,0.0012786761832641906,10.55388715018769
EVAL_00141,PHI,optimization,0.21614405016298957,0.0,0.15,0.002,0.25,0.143,10.589408016029191,0.0012400042462781121,10.590648020275468
EVAL_00142,PHI,optimization,0.20500715230513206,0.0,0.15,0.0,0.25,0.143,10.551638074817046,0.0011929441559757768,10.552831018973022
EVAL_00143,PHI,optimization,0.20700715230513206,0.0,0.15,0.0,0.25,0.143,10.551747993447702,0.0012051053003445979,10.552953098748047
EVAL_00144,PHI,optimization,0.20500715230513206,0.0,0.15,0.002,0.25,0.143,10.588111676812225,0.0011682152670157767,10.589279892079242
EVAL_00145,PHI,optimization,0.2046110486902447,0.0,0.15,0.0,0.25,0.143,10.551609042486133,0.0011905735835650883,10.552799616069699
EVAL_00146,PHI,optimization,0.20661104869024471,0.0,0.15,0.0,0.25,0.143,10.551524996799722,0.0012026713513555276,10.552727668151078
